Name,Session Date,Session2,Facilitator,Grade Level Band,Content Focus,Campus Name,"The format, layout, and supports embedded in the session made it easy to understand.",The session provided me with valuable information. ,The session was engaging and interactive. ,I feel confident about my ability to apply the knowledge from this session. ,"Based on today's learning, I am ready to teach summer school.",List at least one key learning from today's session and how it will support instruction during summer school.,Additional Comments:,Last modified time
Participant 575,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus Y,4,4,4,4,4,"There are digital tools for LSAE, this will help me run the team center more smoothly!",,
Participant 579,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus Y,3,3,3,5,4,I learned how to navigate curriculum on canvas,None,
Participant 664,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,"Learning Coach, all subject",Campus Y,5,5,5,4,5,"Lesson Over, LO aligns to DOL, tracking data, and the ability to adjust DOL grade","Sorry, I was not able to see the curriculum in time to answer on the pad let. l thought were going off of what had been explained. ",
Participant 865,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus Y,4,4,4,4,4,Canvas,,
Participant 907,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus Y,5,5,5,5,4,Teacher notes to help with internalization,None,
Participant 580,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus Y,5,5,5,5,5,Engagement Activities for DOL Mastery,Thank you!,
Participant 590,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus Y,5,5,5,5,5,Digital Resources and the Curriculum,Great session.,
Participant 599,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus Y,5,5,5,5,5,"INTERVENTION, SLIDE DECKS, SUMMER CURRICULUM",,
Participant 863,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus Y,5,5,5,5,5,The pre and post test for students,,
Participant 866,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Sped,Campus Y,2,2,2,2,2,The breakdown of the content,,
Participant 868,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus Y,5,5,5,5,5,Canvas materials ,,
Participant 871,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus Y,5,5,5,5,5,Gh,,
Participant 875,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus Y,5,5,5,5,5,Learning resources will help me provide the needs for students,,
Participant 888,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus Y,5,5,5,5,5,How to use LSAE resources ,,
Participant 894,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus Y,4,4,4,4,4,ESL accomodations,N/A,
Participant 938,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Aisha,Elementary ,Sped ,Campus I,5,5,5,5,5,Given so many resources for summer school ,,
Participant 967,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus I,5,5,4,5,4,Various zearn reports,,
Participant 972,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Math Success,Campus T,5,5,5,5,5,Zearn,Zearn,
Participant 929,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,ELAR/English,Campus F,5,5,5,5,5,Amira,,
Participant 958,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Chelly,Elementary ,Social Studies,Campus F,4,4,4,4,4,Tracker,,
Participant 1005,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus F,4,4,4,4,4,Zearn,,
Participant 1014,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus F,5,5,5,5,5,Zearn,,
Participant 685,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Andi,Elementary ,ELAR/English,Campus F,5,5,5,5,5,"usage of amira, access of slide decks",,
Participant 753,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus F,5,5,5,5,5,Zearn and Amira ,,
Participant 756,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Teacher Apprentice ,Campus F,5,5,5,5,5,How to work Zearn,,
Participant 820,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Reading Success,Campus F,5,5,5,5,5,"Amira, DOL",I like Amira,
Participant 1002,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus F,5,5,5,5,5,Ñ/a,Ñ/a,
Participant 1003,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Math Success,Campus F,5,5,5,5,5,High Quality Instruction,,
Participant 1007,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Reading Success,Campus F,5,5,5,5,5,Amira,,
Participant 1010,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Social Studies,Campus F,5,5,5,5,5,I learned ways to promote students using Zearn which will help them feel motivated and promote educational success.,,
Participant 810,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus F,4,4,3,4,4,Zearn reports (various),Band: K - 8   (I initially chose Elementary on the previous screen) but was instructed after already moving on ,
Participant 789,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Science,Campus E,5,5,5,5,5,Resources available for SS,,
Participant 974,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Self contained ,Campus E,5,5,5,5,5,Amira is in both Spanish and English ,,
Participant 804,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus E,5,5,5,5,5,Zearn functions and effectiveness,,
Participant 694,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Andi,Elementary ,ELAR/English,Campus E,5,5,5,5,5,The slide deck to explain my students how to interact with Amira and successfully complete lessons.,Thank you!,
Participant 919,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus Y,5,5,5,5,5,how to enroll in  summer school course and access resources.The resources will be the backbone of the customized lesson for my summer school students,,
Participant 678,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Mathematics,Campus E,5,5,5,5,5,Amira navigation,,
Participant 757,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Tevin,Elementary ,Social Studies,Campus E,3,3,3,3,3,Using the student report to track progress ,,
Participant 832,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,ELAR/English,Campus E,5,5,5,5,5,Reporting,N/A,
Participant 839,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Social Studies,Campus E,5,5,5,5,5,Zearn and Amira training,,
Participant 841,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Social Studies,Campus E,5,5,5,5,5,internalization,,
Participant 856,6/6/2025,Summer School Training for Teachers of PreK ,Claudia,Elementary ,ECSE,Campus E,5,5,5,5,3,Breaking down and reading the lesson plan,,
Participant 993,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Chelly,Elementary ,Science,Campus E,4,4,4,4,4,Trackers ,,
Participant 971,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus E,5,5,5,5,5,Zearn,,
Participant 619,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Science,Campus E,5,5,5,5,5,Finding test ontrack ,,
Participant 934,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,ELAR/English,Campus E,5,5,5,5,5,Amira info,,
Participant 714,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Andi,Elementary ,ELAR/English,Campus E,5,5,5,5,5,"Tracking reports, awarding badges, and how to manage apps",,
Participant 931,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,ELAR/English,Campus E,4,5,5,5,5,I am going to implement the digital resources to track data and improve instruction. ,,
Participant 968,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus E,4,5,4,5,5,learning pace and support for Zearn,,
Participant 741,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Science,Campus D,4,4,4,3,4,Zearn will be paired with science.,,
Participant 760,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Art of Thinking,Campus D,5,5,5,5,5,Being able to access Amira’s progress and reports,Great session!,
Participant 773,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus D,5,5,5,5,5,The different reports available on zearn will assist with keeping track of progress. ,,
Participant 828,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Art of Thinking,Campus D,5,5,4,5,5,How to generate reports on Amira,,
Participant 563,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus Z,3,3,3,4,3,Pre and post tests,N/A,
Participant 608,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus Z,5,5,4,5,4,How to access the course and navigate to DOL's,,
Participant 872,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus Z,5,5,5,5,5,The Pre and Post Assessments are provided in OnTracm,,
Participant 558,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus Z,5,5,5,5,5,summer school curriculum,,
Participant 645,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Bilingual 1St,Campus C,5,5,5,5,5,amira was clear explained,Thank you,
Participant 648,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Mathematics,Campus C,5,5,5,5,5,Students will be able to use Zern and Amira,Training was very educational,
Participant 687,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Mathematics,Campus C,5,5,5,5,5,Students will be able to use Zern and Amira,Training was very educational,
Participant 727,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Science of Reading,Campus C,3,3,3,2,2,I was not able to receive sound despite troubleshooting the problem.,I posted a detailed question in the Padlet provided in the training.,
Participant 777,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Science,Campus C,5,5,5,5,5,zearn information,,
Participant 840,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Reading Academies,Campus C,5,5,5,5,5,Zearn & Amira,Thank you,
Participant 1006,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus C,4,4,4,4,4,Curriculum and schedule,,
Participant 751,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus Z,5,5,5,5,1,I could again at 1,I could not hear.  I am going to try again at 1,
Participant 897,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus Z,5,5,5,5,5,Viewing the curriculum was extremely insightful!,,
Participant 556,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus Z,5,5,5,5,5,Learning about the canvas tools,,
Participant 559,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus Z,5,5,5,5,5,How to document data after students complete work ,,
Participant 561,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus Z,4,5,4,5,5,n/a,,
Participant 564,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Chelly,High,ELAR/English,Campus Z,5,5,5,5,5,All,Na,
Participant 566,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus Z,5,5,5,5,5,We have built in intervention during  school hours ,,
Participant 589,6/6/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus Z,4,4,4,4,4,HB 1416 tracking app will be useful and not require a lot of time from instruction.,,
Participant 693,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Special Ed,Campus T,5,4,4,5,5,"summer curriculum, Data collection",None,
Participant 728,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,ELAR/English,Campus T,5,5,5,5,5,It will enhance students be intentional in their learning and help teachers adjust to student needs,,
Participant 735,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Social Studies,Campus T,4,4,4,4,4,Access to Amiri,,
Participant 785,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Mathematics,Campus T,5,5,4,5,5,N/A,,
Participant 793,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Mathematics,Campus T,5,5,5,5,5,Motivating students for each accomplishment ,Useful resources ,
Participant 822,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Mathematics,Campus T,4,4,4,4,4,Zearn helps students take better notes during lessons ,N/A,
Participant 986,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Mathematics,Campus T,5,5,5,5,5,Students will progress academically using Zearn. ,N/A,
Participant 1019,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Middle ,Science,Campus T,3,3,3,3,3,Tracking,,
Participant 736,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Special Education,Campus T,5,5,5,5,3,"Document for house bill, all materials are provided!",Nonw,
Participant 1023,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Mathematics,Campus U,5,5,4,5,5,"Learning how the flow of summer school will be implemented, including both core and enrichment subjects.  ",N/A,
Participant 940,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,ELAR/English,Campus U,5,5,5,5,5,Learn and Boost to support learning,,
Participant 1000,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Mathematics,Campus U,5,5,5,5,5,Zearn  Boost,,
Participant 731,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Social Studies,Campus U,5,5,5,4,5,Happy to learn about the different resources,,
Participant 953,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,ELAR/English,Campus U,5,5,5,5,5,NES format,,
Participant 964,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Science,Campus U,5,5,5,5,5,Track logging ,,
Participant 998,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Josh,Middle ,Social Studies,Campus U,5,5,5,5,5,Amir use,,
Participant 792,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Middle ,Art of Thinking,Campus U,5,5,5,5,5,Zearn expectations,,
Participant 636,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,ELAR/English,Campus B,5,5,5,5,5,Amira,,
Participant 677,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,ELAR/English,Campus B,5,5,5,5,5,Amira,,
Participant 755,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus B,5,4,4,4,4,Navigating Amira.,Great information on digital resources. ,
Participant 762,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus B,5,5,5,5,5,Amira,Great,
Participant 780,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus B,5,5,5,5,5,The zearn access,,
Participant 950,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,ELAR/English,Campus B,4,4,4,4,5,Amira,,
Participant 988,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Science,Campus B,5,3,4,5,5,Zearn has a pacing report ,,
Participant 992,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Mathematics,Campus B,5,5,5,5,5,HB1416,,
Participant 1016,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Claudia,Elementary ,Mathematics,Campus B,4,4,4,4,4,Amplify and Zearn access,,
Participant 1018,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,ELAR/English,Campus B,5,5,5,5,5,"DOL, and Zearn specifications .",,
Participant 1145,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Reading Academies,Campus B,5,5,5,5,5,Amira tracking and logging,,
Participant 660,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,ELAR/English,Campus B,5,4,4,5,5,Amira - steps for students,,
Participant 712,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,ELAR/English,Campus B,5,5,5,5,5,Amira will be implemented for Elementary ELAR,,
Participant 748,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Reading Academies,Campus B,4,4,4,4,4,Zearn and Amira,,
Participant 754,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,ELAR/English,Campus B,5,5,5,5,5,Amira and Zearn knowledgeable ,,
Participant 766,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Science,Campus B,5,5,5,5,5,Summer School Curriculum resources,,
Participant 769,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,SPED,Campus B,3,3,3,3,4,"Zern , collected data use Amir learning ",enjoyed ,
Participant 779,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Tevin,Elementary ,Mathematics,Campus B,5,5,5,5,5,N/a,,
Participant 812,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Tevin,Elementary ,ELAR/English,Campus B,5,5,5,5,5,Amira,,
Participant 830,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,sped,Campus B,4,4,4,5,4,collect data you zern ,na,
Participant 834,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Reading Success,Campus B,4,4,4,4,4,Zearn and Amira,,
Participant 842,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,Summer School 1st Grade self-contained,Campus B,5,5,5,5,5,Amira procedures,Thank you,
Participant 847,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,ELAR/English,Campus B,5,5,5,5,5,Learn,,
Participant 1024,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Bre,Elementary ,Social Studies,Campus B,3,3,3,3,3,Deeper lesson internalization,,
Participant 649,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Bre,Elementary ,ELAR/English,Campus A,5,5,5,4,4,Amira,,
Participant 761,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Science,Campus A,5,5,5,5,5,Acccessing the summer school curriculum cia Canvas has supported me in navigating curruculum.,I am not able to change my role on OnTrack- this was an issue for everybody,
Participant 862,6/6/2025,Summer School Training for Teachers of PreK ,Angela,Elementary ,Science,Campus A,5,5,5,5,5,Login Info,,
Participant 676,6/6/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Science,Campus A,4,5,4,5,4,Look the best way ,None,
Participant 699,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Andi,Elementary ,ELAR/English,Campus A,4,3,3,5,5,"How to access Amira and how to get students motivated to use it, by giving them badges when they level up.",,
Participant 776,6/6/2025,Teacher  Summer School G3-G8 Curriculum  ,Kathy,Elementary ,Learning Coach ,Campus A,5,5,5,5,5,Zearn,,
